run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
14	6	526.8	106.528332	0.178568	[302.20,526.80,342.40,310.40,521.80,261.00]	[0,2,4,0,4,5,5,3,1,5,0,2,5,0,5,2,3,3,1,1,2,4,3,0]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
14	7	561.8	122.448434	0.177001	[302.20,561.80,341.20,310.40,521.80,223.60]	[0,2,4,0,4,5,5,3,1,5,0,2,1,0,5,2,3,3,1,1,2,4,3,0]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	1	521.8	92.154877	0.177872	[323.60,521.80,327.20,276.30,486.80,327.40]	[3,5,0,2,1,4,1,0,0,3,2,2,2,5,2,5,3,3,4,5,0,1,3,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	2	521.8	92.047857	0.179045	[323.60,521.80,327.20,276.30,486.80,328.60]	[3,5,0,2,1,4,1,0,0,3,2,2,2,5,2,5,3,3,4,5,0,1,3,0]	[0,0,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	3	521.8	98.404174	0.175428	[381.80,521.80,265.40,276.30,486.80,327.40]	[3,5,0,2,1,4,1,0,0,3,2,2,2,5,0,5,3,3,4,5,0,1,3,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	4	521.8	98.305178	0.176601	[381.80,521.80,265.40,276.30,486.80,328.60]	[3,5,0,2,1,4,1,0,0,3,2,2,2,5,0,5,3,3,4,5,0,1,3,0]	[0,0,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	5	552.7	148.540931	0.171487	[381.80,521.80,218.60,434.20,552.70,148.60]	[3,4,0,5,1,4,1,0,0,3,2,2,2,5,0,3,3,3,4,5,0,1,3,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	6	551.8	148.363053	0.172464	[381.80,521.80,218.60,434.20,551.80,148.60]	[3,4,0,5,1,4,1,0,0,3,2,2,2,5,0,3,3,3,4,5,0,1,3,0]	[0,0,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	7	521.8	112.049612	0.175322	[321.80,521.80,278.60,434.20,486.80,214.80]	[3,5,0,5,1,4,1,0,0,3,2,2,2,5,2,3,3,3,4,5,0,1,3,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	8	521.8	120.909535	0.172879	[381.80,521.80,218.60,434.20,486.80,214.80]	[3,5,0,5,1,4,1,0,0,3,2,2,2,5,0,3,3,3,4,5,0,1,3,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	9	521.8	120.776069	0.174052	[381.80,521.80,218.60,434.20,486.80,215.40]	[3,5,0,5,1,4,1,0,0,3,2,2,2,5,0,3,3,3,4,5,0,1,3,0]	[0,0,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	1	456.2	58.21868	0.185977	[450.00,352.20,327.20,378.60,456.20,301.90]	[2,2,2,2,3,4,5,1,5,5,5,1,1,2,3,3,5,3,0,3,1,4,2,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	2	573.1	172.823693	0.170313	[542.70,394.00,106.80,573.10,456.80,193.60]	[0,3,3,2,3,0,5,1,4,3,5,1,1,2,3,3,5,3,0,3,1,4,1,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	3	570.7	187.555127	0.169092	[542.70,450.40,146.80,570.70,456.80,91.80]	[0,3,3,2,3,0,5,1,4,3,2,1,1,1,3,3,5,3,0,3,1,4,1,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	4	456.2	58.770108	0.182963	[450.00,350.40,371.60,347.20,456.20,290.40]	[2,2,3,2,3,4,5,1,5,3,2,1,1,2,3,5,5,3,0,3,1,4,2,1]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
