run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
15	8	571.8	153.105437	0.16687	[571.80,454.50,95.00,411.00,273.60,450.00]	[4,1,3,0,1,3,4,1,3,3,1,3,3,2,3,4,3,0,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	9	501.8	115.74916	0.172806	[501.80,477.70,180.40,376.60,273.60,450.00]	[4,1,3,0,2,2,4,1,3,3,1,3,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	10	501.8	127.400597	0.169671	[501.80,477.70,143.60,411.30,273.60,450.00]	[4,1,3,0,2,3,4,1,3,3,1,3,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	11	501.8	110.45769	0.172834	[501.80,477.70,200.40,360.20,273.60,450.00]	[4,1,2,0,2,3,4,1,3,3,1,3,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	12	501.8	103.402618	0.175968	[501.80,477.70,237.20,323.40,273.60,450.00]	[4,1,2,0,2,2,4,1,3,3,1,3,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	13	571.8	119.985699	0.171607	[571.80,407.70,200.40,360.20,273.60,450.00]	[4,1,2,0,2,3,4,1,3,3,1,3,3,2,3,4,3,0,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	14	522.7	144.963908	0.169665	[501.80,522.70,95.00,376.60,310.40,450.00]	[4,1,3,0,1,3,4,1,4,3,1,3,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
15	15	522.7	149.245711	0.168097	[501.80,522.70,95.00,413.10,273.60,450.00]	[4,1,3,0,1,3,4,1,3,3,1,3,3,2,3,4,3,1,5,1,2,0,1,0]	[0,1,0,0,0,0,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
16	1	576.8	145.998889	0.175201	[275.40,463.60,506.80,256.60,576.80,180.00]	[4,3,1,2,3,3,1,1,1,3,5,5,0,1,1,0,1,4,4,0,3,2,2,0]	[0,0,0,0,0,1,2,0,0,0,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	1	475	68.029808	0.172446	[342.50,323.60,475.00,385.40,450.00,283.60]	[1,5,3,3,3,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,5,2,5,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
